"","상품군별","운영형태별","년월","매출액","년도","월"
"97","패션용품 및 액세서리","계","2017_2","146885","2017","2"
"98","패션용품 및 액세서리","Online몰","2017_2","84476","2017","2"
"99","패션용품 및 액세서리","On/Offline몰","2017_2","62409","2017","2"
"100","스포츠·레저용품","계","2017_2","207110","2017","2"
"101","스포츠·레저용품","Online몰","2017_2","162618","2017","2"
"102","스포츠·레저용품","On/Offline몰","2017_2","44492","2017","2"
"103","화장품","계","2017_2","729228","2017","2"
"104","화장품","Online몰","2017_2","242894","2017","2"
"105","화장품","On/Offline몰","2017_2","486334","2017","2"
"106","아동·유아용품","계","2017_2","262204","2017","2"
"107","아동·유아용품","Online몰","2017_2","213530","2017","2"
"108","아동·유아용품","On/Offline몰","2017_2","48673","2017","2"
"109","음·식료품","계","2017_2","573082","2017","2"
"110","음·식료품","Online몰","2017_2","361590","2017","2"
"111","음·식료품","On/Offline몰","2017_2","211492","2017","2"
"112","농축수산물","계","2017_2","167546","2017","2"
"113","농축수산물","Online몰","2017_2","91813","2017","2"
"114","농축수산물","On/Offline몰","2017_2","75732","2017","2"
"115","생활용품","계","2017_2","607119","2017","2"
"116","생활용품","Online몰","2017_2","462621","2017","2"
"117","생활용품","On/Offline몰","2017_2","144497","2017","2"
"118","자동차 및 자동차용품","계","2017_2","76677","2017","2"
"119","자동차 및 자동차용품","Online몰","2017_2","70582","2017","2"
"120","자동차 및 자동차용품","On/Offline몰","2017_2","6095","2017","2"
"121","가구","계","2017_2","219176","2017","2"
"122","가구","Online몰","2017_2","146560","2017","2"
"123","가구","On/Offline몰","2017_2","72616","2017","2"
"124","애완용품","계","2017_2","62005","2017","2"
"125","애완용품","Online몰","2017_2","58302","2017","2"
"126","애완용품","On/Offline몰","2017_2","3703","2017","2"
"127","여행 및 교통서비스","계","2017_2","1110440","2017","2"
"128","여행 및 교통서비스","Online몰","2017_2","485877","2017","2"
"129","여행 및 교통서비스","On/Offline몰","2017_2","624563","2017","2"
"130","문화 및 레저서비스","계","2017_2","123892","2017","2"
"131","문화 및 레저서비스","Online몰","2017_2","74835","2017","2"
"132","문화 및 레저서비스","On/Offline몰","2017_2","49057","2017","2"
"133","e쿠폰서비스","계","2017_2","80796","2017","2"
"134","e쿠폰서비스","Online몰","2017_2","79165","2017","2"
"135","e쿠폰서비스","On/Offline몰","2017_2","1631","2017","2"
"136","음식서비스","계","2017_2","173924","2017","2"
"137","음식서비스","Online몰","2017_2","151531","2017","2"
"138","음식서비스","On/Offline몰","2017_2","22393","2017","2"
"139","기타서비스","계","2017_2","40733","2017","2"
"140","기타서비스","Online몰","2017_2","35043","2017","2"
"141","기타서비스","On/Offline몰","2017_2","5690","2017","2"
"142","기타","계","2017_2","141578","2017","2"
"143","기타","Online몰","2017_2","124036","2017","2"
"144","기타","On/Offline몰","2017_2","17542","2017","2"
"145","합계","계","2017_3","7747011","2017","3"
"146","합계","Online몰","2017_3","5094744","2017","3"
"147","합계","On/Offline몰","2017_3","2652267","2017","3"
"148","컴퓨터 및 주변기기","계","2017_3","473351","2017","3"
"149","컴퓨터 및 주변기기","Online몰","2017_3","391170","2017","3"
"150","컴퓨터 및 주변기기","On/Offline몰","2017_3","82181","2017","3"
"151","가전·전자·통신기기","계","2017_3","667726","2017","3"
"152","가전·전자·통신기기","Online몰","2017_3","524450","2017","3"
"153","가전·전자·통신기기","On/Offline몰","2017_3","143276","2017","3"
"154","서적","계","2017_3","185571","2017","3"
"155","서적","Online몰","2017_3","52014","2017","3"
"156","서적","On/Offline몰","2017_3","133557","2017","3"
"157","사무·문구","계","2017_3","70006","2017","3"
"158","사무·문구","Online몰","2017_3","52536","2017","3"
"159","사무·문구","On/Offline몰","2017_3","17470","2017","3"
"160","의복","계","2017_3","1042742","2017","3"
"161","의복","Online몰","2017_3","773722","2017","3"
"162","의복","On/Offline몰","2017_3","269019","2017","3"
"163","신발","계","2017_3","153293","2017","3"
"164","신발","Online몰","2017_3","109183","2017","3"
"165","신발","On/Offline몰","2017_3","44111","2017","3"
"166","가방","계","2017_3","168660","2017","3"
"167","가방","Online몰","2017_3","115709","2017","3"
"168","가방","On/Offline몰","2017_3","52951","2017","3"
"169","패션용품 및 액세서리","계","2017_3","165677","2017","3"
"170","패션용품 및 액세서리","Online몰","2017_3","101809","2017","3"
"171","패션용품 및 액세서리","On/Offline몰","2017_3","63868","2017","3"
"172","스포츠·레저용품","계","2017_3","257361","2017","3"
"173","스포츠·레저용품","Online몰","2017_3","203193","2017","3"
"174","스포츠·레저용품","On/Offline몰","2017_3","54168","2017","3"
"175","화장품","계","2017_3","715294","2017","3"
"176","화장품","Online몰","2017_3","253968","2017","3"
"177","화장품","On/Offline몰","2017_3","461326","2017","3"
"178","아동·유아용품","계","2017_3","300200","2017","3"
"179","아동·유아용품","Online몰","2017_3","240733","2017","3"
"180","아동·유아용품","On/Offline몰","2017_3","59466","2017","3"
"181","음·식료품","계","2017_3","641671","2017","3"
"182","음·식료품","Online몰","2017_3","404941","2017","3"
"183","음·식료품","On/Offline몰","2017_3","236730","2017","3"
"184","농축수산물","계","2017_3","194150","2017","3"
"185","농축수산물","Online몰","2017_3","105221","2017","3"
"186","농축수산물","On/Offline몰","2017_3","88929","2017","3"
"187","생활용품","계","2017_3","619493","2017","3"
"188","생활용품","Online몰","2017_3","467380","2017","3"
"189","생활용품","On/Offline몰","2017_3","152114","2017","3"
"190","자동차 및 자동차용품","계","2017_3","81297","2017","3"
"191","자동차 및 자동차용품","Online몰","2017_3","74157","2017","3"
"192","자동차 및 자동차용품","On/Offline몰","2017_3","7141","2017","3"
"193","가구","계","2017_3","240688","2017","3"
"194","가구","Online몰","2017_3","164308","2017","3"
"195","가구","On/Offline몰","2017_3","76379","2017","3"
"196","애완용품","계","2017_3","65265","2017","3"
"197","애완용품","Online몰","2017_3","61067","2017","3"
"198","애완용품","On/Offline몰","2017_3","4198","2017","3"
"199","여행 및 교통서비스","계","2017_3","1072596","2017","3"
"200","여행 및 교통서비스","Online몰","2017_3","459248","2017","3"
"201","여행 및 교통서비스","On/Offline몰","2017_3","613348","2017","3"
"202","문화 및 레저서비스","계","2017_3","138133","2017","3"
"203","문화 및 레저서비스","Online몰","2017_3","93762","2017","3"
"204","문화 및 레저서비스","On/Offline몰","2017_3","44371","2017","3"
"205","e쿠폰서비스","계","2017_3","90149","2017","3"
"206","e쿠폰서비스","Online몰","2017_3","88601","2017","3"
"207","e쿠폰서비스","On/Offline몰","2017_3","1548","2017","3"
"208","음식서비스","계","2017_3","192095","2017","3"
"209","음식서비스","Online몰","2017_3","169969","2017","3"
"210","음식서비스","On/Offline몰","2017_3","22126","2017","3"
"211","기타서비스","계","2017_3","35946","2017","3"
"212","기타서비스","Online몰","2017_3","29603","2017","3"
"213","기타서비스","On/Offline몰","2017_3","6343","2017","3"
"214","기타","계","2017_3","175648","2017","3"
"215","기타","Online몰","2017_3","158001","2017","3"
"216","기타","On/Offline몰","2017_3","17647","2017","3"
"217","합계","계","2017_4","7380795","2017","4"
"218","합계","Online몰","2017_4","4966280","2017","4"
"219","합계","On/Offline몰","2017_4","2414515","2017","4"
"220","컴퓨터 및 주변기기","계","2017_4","368280","2017","4"
"221","컴퓨터 및 주변기기","Online몰","2017_4","302977","2017","4"
"222","컴퓨터 및 주변기기","On/Offline몰","2017_4","65303","2017","4"
"223","가전·전자·통신기기","계","2017_4","716708","2017","4"
"224","가전·전자·통신기기","Online몰","2017_4","559478","2017","4"
"225","가전·전자·통신기기","On/Offline몰","2017_4","157230","2017","4"
"226","서적","계","2017_4","122418","2017","4"
"227","서적","Online몰","2017_4","37367","2017","4"
"228","서적","On/Offline몰","2017_4","85051","2017","4"
"229","사무·문구","계","2017_4","61954","2017","4"
"230","사무·문구","Online몰","2017_4","45571","2017","4"
"231","사무·문구","On/Offline몰","2017_4","16383","2017","4"
"232","의복","계","2017_4","972647","2017","4"
"233","의복","Online몰","2017_4","723872","2017","4"
"234","의복","On/Offline몰","2017_4","248775","2017","4"
"235","신발","계","2017_4","151628","2017","4"
"236","신발","Online몰","2017_4","108686","2017","4"
"237","신발","On/Offline몰","2017_4","42943","2017","4"
"238","가방","계","2017_4","159399","2017","4"
"239","가방","Online몰","2017_4","105625","2017","4"
"240","가방","On/Offline몰","2017_4","53774","2017","4"
"241","패션용품 및 액세서리","계","2017_4","165183","2017","4"
"242","패션용품 및 액세서리","Online몰","2017_4","98902","2017","4"
"243","패션용품 및 액세서리","On/Offline몰","2017_4","66281","2017","4"
"244","스포츠·레저용품","계","2017_4","283154","2017","4"
"245","스포츠·레저용품","Online몰","2017_4","229141","2017","4"
"246","스포츠·레저용품","On/Offline몰","2017_4","54014","2017","4"
"247","화장품","계","2017_4","583336","2017","4"
"248","화장품","Online몰","2017_4","245905","2017","4"
"249","화장품","On/Offline몰","2017_4","337431","2017","4"
"250","아동·유아용품","계","2017_4","293596","2017","4"
"251","아동·유아용품","Online몰","2017_4","248282","2017","4"
"252","아동·유아용품","On/Offline몰","2017_4","45314","2017","4"
"253","음·식료품","계","2017_4","652914","2017","4"
"254","음·식료품","Online몰","2017_4","422008","2017","4"
"255","음·식료품","On/Offline몰","2017_4","230905","2017","4"
"256","농축수산물","계","2017_4","176139","2017","4"
"257","농축수산물","Online몰","2017_4","98629","2017","4"
"258","농축수산물","On/Offline몰","2017_4","77510","2017","4"
"259","생활용품","계","2017_4","575323","2017","4"
"260","생활용품","Online몰","2017_4","440803","2017","4"
"261","생활용품","On/Offline몰","2017_4","134521","2017","4"
"262","자동차 및 자동차용품","계","2017_4","80513","2017","4"
"263","자동차 및 자동차용품","Online몰","2017_4","72678","2017","4"
"264","자동차 및 자동차용품","On/Offline몰","2017_4","7835","2017","4"
"265","가구","계","2017_4","206024","2017","4"
"266","가구","Online몰","2017_4","138668","2017","4"
"267","가구","On/Offline몰","2017_4","67356","2017","4"
"268","애완용품","계","2017_4","59383","2017","4"
"269","애완용품","Online몰","2017_4","55195","2017","4"
"270","애완용품","On/Offline몰","2017_4","4188","2017","4"
"271","여행 및 교통서비스","계","2017_4","1134841","2017","4"
"272","여행 및 교통서비스","Online몰","2017_4","514669","2017","4"
"273","여행 및 교통서비스","On/Offline몰","2017_4","620172","2017","4"
"274","문화 및 레저서비스","계","2017_4","119599","2017","4"
"275","문화 및 레저서비스","Online몰","2017_4","84314","2017","4"
"276","문화 및 레저서비스","On/Offline몰","2017_4","35285","2017","4"
"277","e쿠폰서비스","계","2017_4","84933","2017","4"
"278","e쿠폰서비스","Online몰","2017_4","83354","2017","4"
"279","e쿠폰서비스","On/Offline몰","2017_4","1579","2017","4"
"280","음식서비스","계","2017_4","196543","2017","4"
"281","음식서비스","Online몰","2017_4","173147","2017","4"
"282","음식서비스","On/Offline몰","2017_4","23397","2017","4"
"283","기타서비스","계","2017_4","53217","2017","4"
"284","기타서비스","Online몰","2017_4","29884","2017","4"
"285","기타서비스","On/Offline몰","2017_4","23333","2017","4"
"286","기타","계","2017_4","163064","2017","4"
"287","기타","Online몰","2017_4","147127","2017","4"
"288","기타","On/Offline몰","2017_4","15937","2017","4"
"289","합계","계","2017_5","7621719","2017","5"
"290","합계","Online몰","2017_5","5108106","2017","5"
"291","합계","On/Offline몰","2017_5","2513613","2017","5"
"292","컴퓨터 및 주변기기","계","2017_5","350923","2017","5"
"293","컴퓨터 및 주변기기","Online몰","2017_5","284161","2017","5"
"294","컴퓨터 및 주변기기","On/Offline몰","2017_5","66763","2017","5"
"295","가전·전자·통신기기","계","2017_5","861618","2017","5"
"296","가전·전자·통신기기","Online몰","2017_5","672600","2017","5"
"297","가전·전자·통신기기","On/Offline몰","2017_5","189018","2017","5"
"298","서적","계","2017_5","114380","2017","5"
"299","서적","Online몰","2017_5","35363","2017","5"
"300","서적","On/Offline몰","2017_5","79017","2017","5"
"301","사무·문구","계","2017_5","57239","2017","5"
"302","사무·문구","Online몰","2017_5","40733","2017","5"
"303","사무·문구","On/Offline몰","2017_5","16506","2017","5"
"304","의복","계","2017_5","978235","2017","5"
"305","의복","Online몰","2017_5","725010","2017","5"
"306","의복","On/Offline몰","2017_5","253225","2017","5"
"307","신발","계","2017_5","160562","2017","5"
"308","신발","Online몰","2017_5","115003","2017","5"
"309","신발","On/Offline몰","2017_5","45559","2017","5"
"310","가방","계","2017_5","152370","2017","5"
"311","가방","Online몰","2017_5","106380","2017","5"
"312","가방","On/Offline몰","2017_5","45991","2017","5"
"313","패션용품 및 액세서리","계","2017_5","168702","2017","5"
"314","패션용품 및 액세서리","Online몰","2017_5","100422","2017","5"
"315","패션용품 및 액세서리","On/Offline몰","2017_5","68280","2017","5"
"316","스포츠·레저용품","계","2017_5","292971","2017","5"
"317","스포츠·레저용품","Online몰","2017_5","237938","2017","5"
"318","스포츠·레저용품","On/Offline몰","2017_5","55033","2017","5"
"319","화장품","계","2017_5","622853","2017","5"
"320","화장품","Online몰","2017_5","252477","2017","5"
