"","상품군별","범위별","년월","매출액","년도","월"
"100","스포츠·레저용품","계","2020_11","560140","2020","11"
"101","스포츠·레저용품","종합몰","2020_11","482774","2020","11"
"102","스포츠·레저용품","전문몰","2020_11","77366","2020","11"
"103","화장품","계","2020_11","1127970","2020","11"
"104","화장품","종합몰","2020_11","1028822","2020","11"
"105","화장품","전문몰","2020_11","99148","2020","11"
"106","아동·유아용품","계","2020_11","409352","2020","11"
"107","아동·유아용품","종합몰","2020_11","364165","2020","11"
"108","아동·유아용품","전문몰","2020_11","45187","2020","11"
"109","음·식료품","계","2020_11","1763127","2020","11"
"110","음·식료품","종합몰","2020_11","1498316","2020","11"
"111","음·식료품","전문몰","2020_11","264811","2020","11"
"112","농축수산물","계","2020_11","495794","2020","11"
"113","농축수산물","종합몰","2020_11","425928","2020","11"
"114","농축수산물","전문몰","2020_11","69866","2020","11"
"115","생활용품","계","2020_11","1237127","2020","11"
"116","생활용품","종합몰","2020_11","1103310","2020","11"
"117","생활용품","전문몰","2020_11","133817","2020","11"
"118","자동차 및 자동차용품","계","2020_11","208473","2020","11"
"119","자동차 및 자동차용품","종합몰","2020_11","178313","2020","11"
"120","자동차 및 자동차용품","전문몰","2020_11","30160","2020","11"
"121","가구","계","2020_11","461124","2020","11"
"122","가구","종합몰","2020_11","409594","2020","11"
"123","가구","전문몰","2020_11","51530","2020","11"
"124","애완용품","계","2020_11","99854","2020","11"
"125","애완용품","종합몰","2020_11","88172","2020","11"
"126","애완용품","전문몰","2020_11","11682","2020","11"
"127","여행 및 교통서비스","계","2020_11","681318","2020","11"
"128","여행 및 교통서비스","종합몰","2020_11","107607","2020","11"
"129","여행 및 교통서비스","전문몰","2020_11","573711","2020","11"
"130","문화 및 레저서비스","계","2020_11","67436","2020","11"
"131","문화 및 레저서비스","종합몰","2020_11","43233","2020","11"
"132","문화 및 레저서비스","전문몰","2020_11","24203","2020","11"
"133","e쿠폰서비스","계","2020_11","405767","2020","11"
"134","e쿠폰서비스","종합몰","2020_11","400093","2020","11"
"135","e쿠폰서비스","전문몰","2020_11","5674","2020","11"
"136","음식서비스","계","2020_11","1639065","2020","11"
"137","음식서비스","종합몰","2020_11","103938","2020","11"
"138","음식서비스","전문몰","2020_11","1535127","2020","11"
"139","기타서비스","계","2020_11","118522","2020","11"
"140","기타서비스","종합몰","2020_11","91759","2020","11"
"141","기타서비스","전문몰","2020_11","26763","2020","11"
"142","기타","계","2020_11","377635","2020","11"
"143","기타","종합몰","2020_11","305862","2020","11"
"144","기타","전문몰","2020_11","71773","2020","11"
"145","합계","계","2020_10","14243512","2020","10"
