"","period","ratio","group","카테고리명","검색기기","년도","월"
"91","2017-10-01",31.73343,"f","스포츠_레져","mobile","2017","10"
"92","2017-10-01",48.63392,"m","스포츠_레져","mobile","2017","10"
"93","2017-11-01",24.31116,"f","스포츠_레져","mobile","2017","11"
"94","2017-11-01",36.58357,"m","스포츠_레져","mobile","2017","11"
"95","2017-12-01",37.73227,"f","스포츠_레져","mobile","2017","12"
"96","2017-12-01",43.04266,"m","스포츠_레져","mobile","2017","12"
"97","2017-01-01",31.65749,"f","식품","mobile","2017","1"
"98","2017-01-01",9.7175,"m","식품","mobile","2017","1"
"99","2017-02-01",35.14947,"f","식품","mobile","2017","2"
"100","2017-02-01",12.11668,"m","식품","mobile","2017","2"
"101","2017-03-01",28.25391,"f","식품","mobile","2017","3"
"102","2017-03-01",10.10322,"m","식품","mobile","2017","3"
"103","2017-04-01",32.5775,"f","식품","mobile","2017","4"
"104","2017-04-01",11.06924,"m","식품","mobile","2017","4"
"105","2017-05-01",30.67697,"f","식품","mobile","2017","5"
"106","2017-05-01",10.70375,"m","식품","mobile","2017","5"
"107","2017-06-01",24.7368,"f","식품","mobile","2017","6"
"108","2017-06-01",8.4404,"m","식품","mobile","2017","6"
"109","2017-07-01",24.22203,"f","식품","mobile","2017","7"
"110","2017-07-01",9.2971,"m","식품","mobile","2017","7"
"111","2017-08-01",27.03371,"f","식품","mobile","2017","8"
"112","2017-08-01",9.94867,"m","식품","mobile","2017","8"
"113","2017-09-01",27.98048,"f","식품","mobile","2017","9"
"114","2017-09-01",11.80971,"m","식품","mobile","2017","9"
"115","2017-10-01",24.26308,"f","식품","mobile","2017","10"
"116","2017-10-01",10.35471,"m","식품","mobile","2017","10"
"117","2017-11-01",24.10033,"f","식품","mobile","2017","11"
"118","2017-11-01",9.11742,"m","식품","mobile","2017","11"
"119","2017-12-01",24.32051,"f","식품","mobile","2017","12"
"120","2017-12-01",9.65888,"m","식품","mobile","2017","12"
"121","2017-01-01",53.44154,"f","출산_육아","mobile","2017","1"
"122","2017-01-01",10.26213,"m","출산_육아","mobile","2017","1"
"123","2017-02-01",46.82037,"f","출산_육아","mobile","2017","2"
"124","2017-02-01",9.51353,"m","출산_육아","mobile","2017","2"
"125","2017-03-01",47.38105,"f","출산_육아","mobile","2017","3"
"126","2017-03-01",9.93442,"m","출산_육아","mobile","2017","3"
"127","2017-04-01",41.61616,"f","출산_육아","mobile","2017","4"
"128","2017-04-01",9.14822,"m","출산_육아","mobile","2017","4"
"129","2017-05-01",38.45695,"f","출산_육아","mobile","2017","5"
"130","2017-05-01",9.19739,"m","출산_육아","mobile","2017","5"
"131","2017-06-01",36.44823,"f","출산_육아","mobile","2017","6"
"132","2017-06-01",7.40046,"m","출산_육아","mobile","2017","6"
"133","2017-07-01",33.95641,"f","출산_육아","mobile","2017","7"
"134","2017-07-01",7.90464,"m","출산_육아","mobile","2017","7"
"135","2017-08-01",23.52339,"f","출산_육아","mobile","2017","8"
"136","2017-08-01",6.80531,"m","출산_육아","mobile","2017","8"
"137","2017-09-01",12.92175,"f","출산_육아","mobile","2017","9"
"138","2017-09-01",5.66773,"m","출산_육아","mobile","2017","9"
"139","2017-10-01",13.87194,"f","출산_육아","mobile","2017","10"
"140","2017-10-01",5.18156,"m","출산_육아","mobile","2017","10"
"141","2017-11-01",7.15123,"f","출산_육아","mobile","2017","11"
"142","2017-11-01",3.84197,"m","출산_육아","mobile","2017","11"
"143","2017-12-01",34.33342,"f","출산_육아","mobile","2017","12"
"144","2017-12-01",9.04409,"m","출산_육아","mobile","2017","12"
"145","2017-01-01",72.40807,"f","패션잡화","mobile","2017","1"
"146","2017-01-01",26.82706,"m","패션잡화","mobile","2017","1"
"147","2017-02-01",67.22985,"f","패션잡화","mobile","2017","2"
"148","2017-02-01",26.34997,"m","패션잡화","mobile","2017","2"
"149","2017-03-01",79.96312,"f","패션잡화","mobile","2017","3"
"150","2017-03-01",30.22358,"m","패션잡화","mobile","2017","3"
"151","2017-04-01",69.08307,"f","패션잡화","mobile","2017","4"
"152","2017-04-01",27.07786,"m","패션잡화","mobile","2017","4"
"153","2017-05-01",64.32628,"f","패션잡화","mobile","2017","5"
"154","2017-05-01",25.30612,"m","패션잡화","mobile","2017","5"
"155","2017-06-01",65.75329,"f","패션잡화","mobile","2017","6"
"156","2017-06-01",24.38881,"m","패션잡화","mobile","2017","6"
"157","2017-07-01",54.30222,"f","패션잡화","mobile","2017","7"
"158","2017-07-01",23.15881,"m","패션잡화","mobile","2017","7"
"159","2017-08-01",47.27146,"f","패션잡화","mobile","2017","8"
"160","2017-08-01",21.04682,"m","패션잡화","mobile","2017","8"
"161","2017-09-01",44.91575,"f","패션잡화","mobile","2017","9"
"162","2017-09-01",19.88136,"m","패션잡화","mobile","2017","9"
"163","2017-10-01",50.21639,"f","패션잡화","mobile","2017","10"
"164","2017-10-01",20.73625,"m","패션잡화","mobile","2017","10"
"165","2017-11-01",46.67044,"f","패션잡화","mobile","2017","11"
"166","2017-11-01",19.65978,"m","패션잡화","mobile","2017","11"
"167","2017-12-01",63.35682,"f","패션잡화","mobile","2017","12"
"168","2017-12-01",25.23151,"m","패션잡화","mobile","2017","12"
"169","2017-01-01",63.05094,"f","화장품_미용","mobile","2017","1"
"170","2017-01-01",10.23322,"m","화장품_미용","mobile","2017","1"
"171","2017-02-01",59.93839,"f","화장품_미용","mobile","2017","2"
"172","2017-02-01",10.07547,"m","화장품_미용","mobile","2017","2"
"173","2017-03-01",58.83525,"f","화장품_미용","mobile","2017","3"
