"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준"
"47","2017","2","1Q","인터넷","디지털_가전","자동차 및 자동차용품",33549,34744,"감소","winter",0,97.9,1.8,94.5,1.2
"48","2017","2","1Q","인터넷","디지털_가전","컴퓨터 및 주변기기",329143,288391,"증가","winter",0,97.9,1.8,94.5,1.2
"49","2017","2","1Q","모바일","생활_건강","사무·문구",18854,15959,"증가","winter",0,97.9,1.8,94.5,1.2
"50","2017","2","1Q","모바일","생활_건강","생활용품",354823,346900,"증가","winter",0,97.9,1.8,94.5,1.2
"51","2017","2","1Q","모바일","생활_건강","서적",47680,47379,"증가","winter",0,97.9,1.8,94.5,1.2
"52","2017","2","1Q","모바일","생활_건강","애완용품",37709,30247,"증가","winter",0,97.9,1.8,94.5,1.2
"53","2017","2","1Q","인터넷","생활_건강","사무·문구",41550,37233,"증가","winter",0,97.9,1.8,94.5,1.2
"54","2017","2","1Q","인터넷","생활_건강","생활용품",252296,245410,"증가","winter",0,97.9,1.8,94.5,1.2
"55","2017","2","1Q","인터넷","생활_건강","서적",106649,103851,"증가","winter",0,97.9,1.8,94.5,1.2
"56","2017","2","1Q","인터넷","생활_건강","애완용품",24296,22849,"증가","winter",0,97.9,1.8,94.5,1.2
"57","2017","2","1Q","모바일","스포츠_레져","스포츠·레저용품",100947,96891,"증가","winter",0,97.9,1.8,94.5,1.2
"58","2017","2","1Q","인터넷","스포츠_레져","스포츠·레저용품",106163,104489,"증가","winter",0,97.9,1.8,94.5,1.2
"59","2017","2","1Q","모바일","식품","농축수산물",100582,142230,"감소","winter",0,97.9,1.8,94.5,1.2
"60","2017","2","1Q","모바일","식품","음·식료품",349797,394322,"감소","winter",0,97.9,1.8,94.5,1.2
"61","2017","2","1Q","인터넷","식품","농축수산물",66964,116799,"감소","winter",0,97.9,1.8,94.5,1.2
"62","2017","2","1Q","인터넷","식품","음·식료품",223285,281528,"감소","winter",0,97.9,1.8,94.5,1.2
"63","2017","2","1Q","모바일","여가_생활편의","e쿠폰서비스",69089,74432,"감소","winter",0,97.9,1.8,94.5,1.2
"64","2017","2","1Q","모바일","여가_생활편의","문화 및 레저서비스",50991,70012,"감소","winter",0,97.9,1.8,94.5,1.2
"65","2017","2","1Q","모바일","여가_생활편의","여행 및 교통서비스",557968,611775,"감소","winter",0,97.9,1.8,94.5,1.2
"66","2017","2","1Q","인터넷","여가_생활편의","e쿠폰서비스",11707,14216,"감소","winter",0,97.9,1.8,94.5,1.2
"67","2017","2","1Q","인터넷","여가_생활편의","문화 및 레저서비스",72901,94242,"감소","winter",0,97.9,1.8,94.5,1.2
"68","2017","2","1Q","인터넷","여가_생활편의","여행 및 교통서비스",552472,603688,"감소","winter",0,97.9,1.8,94.5,1.2
"69","2017","2","1Q","모바일","출산_육아","아동·유아용품",180770,183143,"감소","winter",0,97.9,1.8,94.5,1.2
"70","2017","2","1Q","인터넷","출산_육아","아동·유아용품",81434,76647,"증가","winter",0,97.9,1.8,94.5,1.2
"71","2017","2","1Q","모바일","패션잡화","가방",110077,99665,"증가","winter",0,97.9,1.8,94.5,1.2
"72","2017","2","1Q","모바일","패션잡화","신발",73655,61269,"증가","winter",0,97.9,1.8,94.5,1.2
"73","2017","2","1Q","모바일","패션잡화","의복",445567,467093,"감소","winter",0,97.9,1.8,94.5,1.2
"74","2017","2","1Q","모바일","패션잡화","패션용품 및 액세서리",87970,86770,"증가","winter",0,97.9,1.8,94.5,1.2
"75","2017","2","1Q","인터넷","패션잡화","가방",53127,43978,"증가","winter",0,97.9,1.8,94.5,1.2
"76","2017","2","1Q","인터넷","패션잡화","신발",44976,42529,"증가","winter",0,97.9,1.8,94.5,1.2
"77","2017","2","1Q","인터넷","패션잡화","의복",382105,397422,"감소","winter",0,97.9,1.8,94.5,1.2
"78","2017","2","1Q","인터넷","패션잡화","패션용품 및 액세서리",58915,56669,"증가","winter",0,97.9,1.8,94.5,1.2
"79","2017","2","1Q","모바일","화장품_미용","화장품",428550,380746,"증가","winter",0,97.9,1.8,94.5,1.2
"80","2017","2","1Q","인터넷","화장품_미용","화장품",300678,273399,"증가","winter",0,97.9,1.8,94.5,1.2
"81","2017","3","1Q","모바일","가구_인테리어","가구",137752,122186,"증가","spring",0,100.1,4.1,97,3.9
"82","2017","3","1Q","인터넷","가구_인테리어","가구",102935,96989,"증가","spring",0,100.1,4.1,97,3.9
"83","2017","3","1Q","모바일","디지털_가전","가전·전자·통신기기",318541,298786,"증가","spring",0,100.1,4.1,97,3.9
"84","2017","3","1Q","모바일","디지털_가전","자동차 및 자동차용품",44158,43128,"증가","spring",0,100.1,4.1,97,3.9
"85","2017","3","1Q","모바일","디지털_가전","컴퓨터 및 주변기기",151262,146200,"증가","spring",0,100.1,4.1,97,3.9
"86","2017","3","1Q","인터넷","디지털_가전","가전·전자·통신기기",349185,328088,"증가","spring",0,100.1,4.1,97,3.9
"87","2017","3","1Q","인터넷","디지털_가전","자동차 및 자동차용품",37139,33549,"증가","spring",0,100.1,4.1,97,3.9
"88","2017","3","1Q","인터넷","디지털_가전","컴퓨터 및 주변기기",322089,329143,"감소","spring",0,100.1,4.1,97,3.9
"89","2017","3","1Q","모바일","생활_건강","사무·문구",24255,18854,"증가","spring",0,100.1,4.1,97,3.9
"90","2017","3","1Q","모바일","생활_건강","생활용품",353374,354823,"감소","spring",0,100.1,4.1,97,3.9
"91","2017","3","1Q","모바일","생활_건강","서적",59519,47680,"증가","spring",0,100.1,4.1,97,3.9
"92","2017","3","1Q","모바일","생활_건강","애완용품",40078,37709,"증가","spring",0,100.1,4.1,97,3.9
"93","2017","3","1Q","인터넷","생활_건강","사무·문구",45751,41550,"증가","spring",0,100.1,4.1,97,3.9
"94","2017","3","1Q","인터넷","생활_건강","생활용품",266119,252296,"증가","spring",0,100.1,4.1,97,3.9
"95","2017","3","1Q","인터넷","생활_건강","서적",126052,106649,"증가","spring",0,100.1,4.1,97,3.9
"96","2017","3","1Q","인터넷","생활_건강","애완용품",25187,24296,"증가","spring",0,100.1,4.1,97,3.9
"97","2017","3","1Q","모바일","스포츠_레져","스포츠·레저용품",128655,100947,"증가","spring",0,100.1,4.1,97,3.9
"98","2017","3","1Q","인터넷","스포츠_레져","스포츠·레저용품",128706,106163,"증가","spring",0,100.1,4.1,97,3.9
"99","2017","3","1Q","모바일","식품","농축수산물",121835,100582,"증가","spring",0,100.1,4.1,97,3.9
"100","2017","3","1Q","모바일","식품","음·식료품",392601,349797,"증가","spring",0,100.1,4.1,97,3.9
"101","2017","3","1Q","인터넷","식품","농축수산물",72315,66964,"증가","spring",0,100.1,4.1,97,3.9
"102","2017","3","1Q","인터넷","식품","음·식료품",249069,223285,"증가","spring",0,100.1,4.1,97,3.9
"103","2017","3","1Q","모바일","여가_생활편의","e쿠폰서비스",77872,69089,"증가","spring",0,100.1,4.1,97,3.9
"104","2017","3","1Q","모바일","여가_생활편의","문화 및 레저서비스",49197,50991,"감소","spring",0,100.1,4.1,97,3.9
"105","2017","3","1Q","모바일","여가_생활편의","여행 및 교통서비스",561942,557968,"증가","spring",0,100.1,4.1,97,3.9
"106","2017","3","1Q","인터넷","여가_생활편의","e쿠폰서비스",12277,11707,"증가","spring",0,100.1,4.1,97,3.9
"107","2017","3","1Q","인터넷","여가_생활편의","문화 및 레저서비스",88936,72901,"증가","spring",0,100.1,4.1,97,3.9
"108","2017","3","1Q","인터넷","여가_생활편의","여행 및 교통서비스",510654,552472,"감소","spring",0,100.1,4.1,97,3.9
"109","2017","3","1Q","모바일","출산_육아","아동·유아용품",204856,180770,"증가","spring",0,100.1,4.1,97,3.9
"110","2017","3","1Q","인터넷","출산_육아","아동·유아용품",95343,81434,"증가","spring",0,100.1,4.1,97,3.9
"111","2017","3","1Q","모바일","패션잡화","가방",114633,110077,"증가","spring",0,100.1,4.1,97,3.9
"112","2017","3","1Q","모바일","패션잡화","신발",97495,73655,"증가","spring",0,100.1,4.1,97,3.9
"113","2017","3","1Q","모바일","패션잡화","의복",563752,445567,"증가","spring",0,100.1,4.1,97,3.9
"114","2017","3","1Q","모바일","패션잡화","패션용품 및 액세서리",102632,87970,"증가","spring",0,100.1,4.1,97,3.9
"115","2017","3","1Q","인터넷","패션잡화","가방",54028,53127,"증가","spring",0,100.1,4.1,97,3.9
"116","2017","3","1Q","인터넷","패션잡화","신발",55799,44976,"증가","spring",0,100.1,4.1,97,3.9
"117","2017","3","1Q","인터넷","패션잡화","의복",478990,382105,"증가","spring",0,100.1,4.1,97,3.9
"118","2017","3","1Q","인터넷","패션잡화","패션용품 및 액세서리",63045,58915,"증가","spring",0,100.1,4.1,97,3.9
"119","2017","3","1Q","모바일","화장품_미용","화장품",361445,428550,"감소","spring",0,100.1,4.1,97,3.9
"120","2017","3","1Q","인터넷","화장품_미용","화장품",353850,300678,"증가","spring",0,100.1,4.1,97,3.9
"121","2017","4","2Q","모바일","가구_인테리어","가구",117279,137752,"감소","spring",0,99.8,3.7,101.5,8.7
"122","2017","4","2Q","인터넷","가구_인테리어","가구",88744,102935,"감소","spring",0,99.8,3.7,101.5,8.7
"123","2017","4","2Q","모바일","디지털_가전","가전·전자·통신기기",349814,318541,"증가","spring",0,99.8,3.7,101.5,8.7
"124","2017","4","2Q","모바일","디지털_가전","자동차 및 자동차용품",44786,44158,"증가","spring",0,99.8,3.7,101.5,8.7
"125","2017","4","2Q","모바일","디지털_가전","컴퓨터 및 주변기기",116675,151262,"감소","spring",0,99.8,3.7,101.5,8.7
"126","2017","4","2Q","인터넷","디지털_가전","가전·전자·통신기기",366894,349185,"증가","spring",0,99.8,3.7,101.5,8.7
"127","2017","4","2Q","인터넷","디지털_가전","자동차 및 자동차용품",35727,37139,"감소","spring",0,99.8,3.7,101.5,8.7
"128","2017","4","2Q","인터넷","디지털_가전","컴퓨터 및 주변기기",251604,322089,"감소","spring",0,99.8,3.7,101.5,8.7
"129","2017","4","2Q","모바일","생활_건강","사무·문구",20233,24255,"감소","spring",0,99.8,3.7,101.5,8.7
"130","2017","4","2Q","모바일","생활_건강","생활용품",328595,353374,"감소","spring",0,99.8,3.7,101.5,8.7
"131","2017","4","2Q","모바일","생활_건강","서적",40127,59519,"감소","spring",0,99.8,3.7,101.5,8.7
"132","2017","4","2Q","모바일","생활_건강","애완용품",35774,40078,"감소","spring",0,99.8,3.7,101.5,8.7
"133","2017","4","2Q","인터넷","생활_건강","사무·문구",41721,45751,"감소","spring",0,99.8,3.7,101.5,8.7
"134","2017","4","2Q","인터넷","생활_건강","생활용품",246729,266119,"감소","spring",0,99.8,3.7,101.5,8.7
"135","2017","4","2Q","인터넷","생활_건강","서적",82291,126052,"감소","spring",0,99.8,3.7,101.5,8.7
"136","2017","4","2Q","인터넷","생활_건강","애완용품",23609,25187,"감소","spring",0,99.8,3.7,101.5,8.7
"137","2017","4","2Q","모바일","스포츠_레져","스포츠·레저용품",147775,128655,"증가","spring",0,99.8,3.7,101.5,8.7
"138","2017","4","2Q","인터넷","스포츠_레져","스포츠·레저용품",135380,128706,"증가","spring",0,99.8,3.7,101.5,8.7
"139","2017","4","2Q","모바일","식품","농축수산물",110327,121835,"감소","spring",0,99.8,3.7,101.5,8.7
"140","2017","4","2Q","모바일","식품","음·식료품",386307,392601,"감소","spring",0,99.8,3.7,101.5,8.7
"141","2017","4","2Q","인터넷","식품","농축수산물",65812,72315,"감소","spring",0,99.8,3.7,101.5,8.7
"142","2017","4","2Q","인터넷","식품","음·식료품",266606,249069,"증가","spring",0,99.8,3.7,101.5,8.7
"143","2017","4","2Q","모바일","여가_생활편의","e쿠폰서비스",72727,77872,"감소","spring",0,99.8,3.7,101.5,8.7
"144","2017","4","2Q","모바일","여가_생활편의","문화 및 레저서비스",53515,49197,"증가","spring",0,99.8,3.7,101.5,8.7
"145","2017","4","2Q","모바일","여가_생활편의","여행 및 교통서비스",600457,561942,"증가","spring",0,99.8,3.7,101.5,8.7
"146","2017","4","2Q","인터넷","여가_생활편의","e쿠폰서비스",12206,12277,"감소","spring",0,99.8,3.7,101.5,8.7
"147","2017","4","2Q","인터넷","여가_생활편의","문화 및 레저서비스",66084,88936,"감소","spring",0,99.8,3.7,101.5,8.7
"148","2017","4","2Q","인터넷","여가_생활편의","여행 및 교통서비스",534384,510654,"증가","spring",0,99.8,3.7,101.5,8.7
"149","2017","4","2Q","모바일","출산_육아","아동·유아용품",203032,204856,"감소","spring",0,99.8,3.7,101.5,8.7
"150","2017","4","2Q","인터넷","출산_육아","아동·유아용품",90564,95343,"감소","spring",0,99.8,3.7,101.5,8.7
"151","2017","4","2Q","모바일","패션잡화","가방",112149,114633,"감소","spring",0,99.8,3.7,101.5,8.7
"152","2017","4","2Q","모바일","패션잡화","신발",97379,97495,"감소","spring",0,99.8,3.7,101.5,8.7
"153","2017","4","2Q","모바일","패션잡화","의복",531625,563752,"감소","spring",0,99.8,3.7,101.5,8.7
"154","2017","4","2Q","모바일","패션잡화","패션용품 및 액세서리",105230,102632,"증가","spring",0,99.8,3.7,101.5,8.7
"155","2017","4","2Q","인터넷","패션잡화","가방",47250,54028,"감소","spring",0,99.8,3.7,101.5,8.7
"156","2017","4","2Q","인터넷","패션잡화","신발",54249,55799,"감소","spring",0,99.8,3.7,101.5,8.7
"157","2017","4","2Q","인터넷","패션잡화","의복",441022,478990,"감소","spring",0,99.8,3.7,101.5,8.7
"158","2017","4","2Q","인터넷","패션잡화","패션용품 및 액세서리",59952,63045,"감소","spring",0,99.8,3.7,101.5,8.7
"159","2017","4","2Q","모바일","화장품_미용","화장품",331769,361445,"감소","spring",0,99.8,3.7,101.5,8.7
"160","2017","4","2Q","인터넷","화장품_미용","화장품",251566,353850,"감소","spring",0,99.8,3.7,101.5,8.7
"161","2017","5","2Q","모바일","가구_인테리어","가구",118222,117279,"증가","spring",0,100.8,4.8,108.5,16.2
"162","2017","5","2Q","인터넷","가구_인테리어","가구",83217,88744,"감소","spring",0,100.8,4.8,108.5,16.2
"163","2017","5","2Q","모바일","디지털_가전","가전·전자·통신기기",443900,349814,"증가","spring",0,100.8,4.8,108.5,16.2
