"","년도","월","검색기기","카테고리명","기기별_검색추이"
"116","2017","08","인터넷","디지털_가전",11.851975
"117","2017","08","모바일","생활_건강",44.92638
"118","2017","08","인터넷","생활_건강",7.106505
"119","2017","08","모바일","스포츠_레져",40.12236
"120","2017","08","인터넷","스포츠_레져",6.444955
"121","2017","08","모바일","식품",27.160285
"122","2017","08","인터넷","식품",5.69119
"123","2017","08","모바일","출산_육아",28.961095
"124","2017","08","인터넷","출산_육아",4.12396
"125","2017","08","모바일","패션잡화",49.341225
"126","2017","08","인터넷","패션잡화",7.80102
"127","2017","08","모바일","화장품_미용",45.501675
"128","2017","08","인터넷","화장품_미용",8.83713
"129","2017","09","모바일","가구_인테리어",38.913575
"130","2017","09","인터넷","가구_인테리어",7.727405
"131","2017","09","모바일","디지털_가전",35.721215
"132","2017","09","인터넷","디지털_가전",12.23691
"133","2017","09","모바일","생활_건강",32.60543
"134","2017","09","인터넷","생활_건강",4.046885
"135","2017","09","모바일","스포츠_레져",29.70715
"136","2017","09","인터넷","스포츠_레져",4.678255
"137","2017","09","모바일","식품",30.185835
"138","2017","09","인터넷","식품",6.12738
"139","2017","09","모바일","출산_육아",20.78519
"140","2017","09","인터넷","출산_육아",2.904905
"141","2017","09","모바일","패션잡화",46.73995
"142","2017","09","인터넷","패션잡화",6.55546
"143","2017","09","모바일","화장품_미용",44.44398
"144","2017","09","인터넷","화장품_미용",7.66291
"145","2017","10","모바일","가구_인테리어",51.203065
"146","2017","10","인터넷","가구_인테리어",12.21947
"147","2017","10","모바일","디지털_가전",45.860825
"148","2017","10","인터넷","디지털_가전",18.38252
"149","2017","10","모바일","생활_건강",34.54916
"150","2017","10","인터넷","생활_건강",6.368835
"151","2017","10","모바일","스포츠_레져",48.283935
"152","2017","10","인터넷","스포츠_레져",7.458615
"153","2017","10","모바일","식품",26.331785
"154","2017","10","인터넷","식품",5.853625
"155","2017","10","모바일","출산_육아",20.031615
"156","2017","10","인터넷","출산_육아",3.62032
"157","2017","10","모바일","패션잡화",50.43437
"158","2017","10","인터넷","패션잡화",8.04243
"159","2017","10","모바일","화장품_미용",53.115625
"160","2017","10","인터넷","화장품_미용",10.61949
"161","2017","11","모바일","가구_인테리어",45.551505
"162","2017","11","인터넷","가구_인테리어",10.321855
"163","2017","11","모바일","디지털_가전",48.41447
"164","2017","11","인터넷","디지털_가전",22.233395
"165","2017","11","모바일","생활_건강",35.419195
"166","2017","11","인터넷","생활_건강",6.684295
"167","2017","11","모바일","스포츠_레져",36.653025
"168","2017","11","인터넷","스포츠_레져",5.59359
"169","2017","11","모바일","식품",24.553615
"170","2017","11","인터넷","식품",5.39072
"171","2017","11","모바일","출산_육아",13.285635
"172","2017","11","인터넷","출산_육아",3.188265
"173","2017","11","모바일","패션잡화",47.34666
"174","2017","11","인터넷","패션잡화",7.384755
"175","2017","11","모바일","화장품_미용",48.46994
"176","2017","11","인터넷","화장품_미용",9.06141
"177","2017","12","모바일","가구_인테리어",53.547165
"178","2017","12","인터넷","가구_인테리어",9.917675
"179","2017","12","모바일","디지털_가전",53.183495
"180","2017","12","인터넷","디지털_가전",21.96904
"181","2017","12","모바일","생활_건강",37.653165
"182","2017","12","인터넷","생활_건강",6.16428
"183","2017","12","모바일","스포츠_레져",50.018995
"184","2017","12","인터넷","스포츠_레져",5.71711
"185","2017","12","모바일","식품",25.406265
"186","2017","12","인터넷","식품",4.94578
"187","2017","12","모바일","출산_육아",40.02427
"188","2017","12","인터넷","출산_육아",4.61022
"189","2017","12","모바일","패션잡화",62.494875
"190","2017","12","인터넷","패션잡화",7.648845
"191","2017","12","모바일","화장품_미용",56.21484
"192","2017","12","인터넷","화장품_미용",9.15623
"193","2018","01","모바일","가구_인테리어",57.98528
"194","2018","01","인터넷","가구_인테리어",10.22651
"195","2018","01","모바일","디지털_가전",61.38275
"196","2018","01","인터넷","디지털_가전",12.66544
"197","2018","01","모바일","생활_건강",50.242285
"198","2018","01","인터넷","생활_건강",8.686095
"199","2018","01","모바일","스포츠_레져",42.791025
"200","2018","01","인터넷","스포츠_레져",5.3035
"201","2018","01","모바일","식품",42.504575
"202","2018","01","인터넷","식품",7.156125
"203","2018","01","모바일","출산_육아",50.29034
"204","2018","01","인터넷","출산_육아",4.96499
"205","2018","01","모바일","패션잡화",67.923705
"206","2018","01","인터넷","패션잡화",7.74323
"207","2018","01","모바일","화장품_미용",68.93969
"208","2018","01","인터넷","화장품_미용",10.48145
"209","2018","02","모바일","가구_인테리어",52.531485
"210","2018","02","인터넷","가구_인테리어",8.747455
"211","2018","02","모바일","디지털_가전",56.061965
"212","2018","02","인터넷","디지털_가전",10.433505
"213","2018","02","모바일","생활_건강",45.31886
"214","2018","02","인터넷","생활_건강",7.283495
"215","2018","02","모바일","스포츠_레져",33.976175
"216","2018","02","인터넷","스포츠_레져",4.046025
"217","2018","02","모바일","식품",39.69417
"218","2018","02","인터넷","식품",6.25158
"219","2018","02","모바일","출산_육아",46.791665
"220","2018","02","인터넷","출산_육아",4.193945
"221","2018","02","모바일","패션잡화",66.53086
"222","2018","02","인터넷","패션잡화",6.93654
"223","2018","02","모바일","화장품_미용",65.1187
"224","2018","02","인터넷","화장품_미용",9.060325
"225","2018","03","모바일","가구_인테리어",61.02916
"226","2018","03","인터넷","가구_인테리어",10.88516
"227","2018","03","모바일","디지털_가전",61.204685
"228","2018","03","인터넷","디지털_가전",12.146325
"229","2018","03","모바일","생활_건강",55.358005
"230","2018","03","인터넷","생활_건강",9.143715
"231","2018","03","모바일","스포츠_레져",42.526085
"232","2018","03","인터넷","스포츠_레져",5.60543
"233","2018","03","모바일","식품",39.23042
"234","2018","03","인터넷","식품",6.592305
"235","2018","03","모바일","출산_육아",53.983605
"236","2018","03","인터넷","출산_육아",5.21336
"237","2018","03","모바일","패션잡화",73.83737
"238","2018","03","인터넷","패션잡화",8.26195
"239","2018","03","모바일","화장품_미용",66.355325
"240","2018","03","인터넷","화장품_미용",10.051125
"241","2018","04","모바일","가구_인테리어",52.12592
"242","2018","04","인터넷","가구_인테리어",9.986395
